id,status_group
71743,non functional
51539,functional needs repair
73819,non functional
66881,non functional
58768,non functional
2648,functional needs repair
68933,functional needs repair
12427,functional needs repair
16633,non functional
24123,non functional
58551,non functional
17132,non functional
3027,functional
2651,non functional
25998,non functional
63400,functional
50028,non functional
67897,functional
21425,functional
71756,functional needs repair
16862,functional
15420,non functional
47784,functional needs repair
712,non functional
54368,non functional
2866,functional needs repair
51130,functional needs repair
27993,non functional
21621,functional needs repair
66038,functional
42182,functional
17694,non functional
57759,functional
47978,functional
52359,non functional
69656,functional
24086,functional
43579,functional
43284,non functional
2877,non functional
21171,non functional
40982,functional
48396,functional
13323,non functional
28467,functional
2768,functional
73593,non functional
65164,functional
69976,non functional
52145,functional
49259,functional
23542,non functional
69848,functional
9305,functional
14359,non functional
28925,non functional
21243,non functional
10616,non functional
73667,functional
20566,functional
63711,functional
72840,functional
31651,non functional
3782,functional
6799,non functional
21402,functional
35390,functional
12636,non functional
36887,functional needs repair
20086,functional
5634,non functional
48029,functional
29927,non functional
2930,functional needs repair
41800,functional
68349,functional needs repair
61678,non functional
30270,functional
4678,functional
9392,non functional
20735,non functional
49300,functional
70339,functional
25572,functional needs repair
61445,non functional
32190,functional
39189,functional
14853,non functional
52207,functional
48035,functional
73122,functional
16352,non functional
42721,non functional
15116,functional
7837,functional
56907,functional
46382,functional
64521,functional
67362,functional needs repair
61861,non functional
72139,functional needs repair
3398,functional needs repair
62911,functional needs repair
48152,functional needs repair
48001,functional
64118,functional needs repair
65793,functional
61557,non functional
32352,functional needs repair
1830,functional
50553,functional
51961,non functional
38481,functional needs repair
48371,functional
56540,functional needs repair
18142,functional needs repair
72934,non functional
39300,functional
40115,non functional
3793,functional
59318,functional needs repair
68070,non functional
67527,non functional
34898,functional needs repair
26592,non functional
67682,functional
52394,functional
32218,functional
69045,non functional
12808,functional
49250,non functional
64126,functional
64903,functional needs repair
35165,non functional
9543,functional needs repair
64635,functional
47929,functional
28329,non functional
67954,functional needs repair
16575,non functional
16612,functional
27003,functional
73324,non functional
7043,non functional
22174,non functional
19450,functional needs repair
35825,functional needs repair
9854,non functional
23254,non functional
72170,non functional
61999,non functional
70354,non functional
6877,non functional
47323,functional
48624,non functional
6148,functional needs repair
59698,functional
67268,functional needs repair
59174,functional needs repair
68916,functional
28358,functional
57453,functional
71952,non functional
1761,functional needs repair
15234,functional
60021,functional
22567,functional
17695,functional
19872,functional
22828,functional
34896,functional needs repair
35570,non functional
41325,non functional
8831,non functional
5345,functional
19379,functional
5514,functional
61654,functional needs repair
40482,functional
43123,non functional
40492,functional needs repair
68733,functional
3952,functional needs repair
70288,non functional
30085,non functional
65837,non functional
34752,non functional
2465,functional needs repair
11466,non functional
22313,functional
30179,non functional
23505,non functional
48424,functional
11150,functional needs repair
70368,functional
26935,non functional
5919,non functional
2134,functional
16652,functional
59302,functional needs repair
24210,non functional
6211,functional needs repair
19743,functional needs repair
10760,non functional
48104,functional
50171,functional
63137,functional
38301,functional
10948,functional
33232,non functional
61415,functional
69131,non functional
73555,functional needs repair
46610,functional needs repair
20922,functional
55743,functional needs repair
19341,functional needs repair
9588,non functional
3293,non functional
55490,functional
67678,functional
36119,non functional
62775,non functional
68162,functional needs repair
66128,non functional
12036,functional
15739,non functional
57048,functional needs repair
15825,non functional
45590,functional needs repair
18055,functional
34073,functional needs repair
14860,functional needs repair
53713,functional
69327,non functional
60169,functional
26798,functional needs repair
37122,functional
45156,functional
22874,non functional
58774,functional
40092,non functional
17487,functional
35886,functional
49892,functional
66338,non functional
35481,non functional
4135,functional
54191,non functional
31349,functional
72271,non functional
48863,functional
13758,functional needs repair
33443,non functional
12003,non functional
10845,non functional
47,non functional
70492,functional
11346,non functional
20126,functional needs repair
51000,functional
64505,non functional
58329,functional
6311,non functional
22286,functional needs repair
35013,functional needs repair
6274,functional needs repair
30904,functional needs repair
46606,functional
18461,functional needs repair
15256,functional
625,functional needs repair
42122,functional
18277,functional
68501,functional needs repair
8816,functional needs repair
62879,functional
18554,functional
27712,functional needs repair
46935,non functional
57804,non functional
57711,functional
5516,non functional
8305,functional
57410,non functional
51412,non functional
25863,functional needs repair
35994,functional needs repair
55279,non functional
74102,non functional
38277,non functional
1998,functional needs repair
52056,non functional
63679,functional
71762,non functional
71432,non functional
45592,functional
13663,non functional
62227,non functional
3730,functional
2451,non functional
46418,functional needs repair
45996,non functional
60911,non functional
46089,functional
65579,functional needs repair
40407,non functional
66663,non functional
26597,functional
50540,functional
58133,non functional
1493,non functional
31503,non functional
17910,functional
19466,functional
38120,functional
66553,functional
31696,functional
51318,functional
33584,non functional
48678,functional needs repair
36112,non functional
6294,functional needs repair
40612,non functional
62793,functional
58090,functional needs repair
2532,functional needs repair
38865,functional needs repair
35462,non functional
51709,functional
40624,non functional
41745,functional
42315,functional
38952,functional needs repair
45540,non functional
73833,functional
27771,non functional
9336,non functional
12545,functional
54811,functional
48326,non functional
31787,non functional
61745,non functional
42091,non functional
43727,non functional
46917,non functional
26718,functional
3138,functional needs repair
72932,functional
25707,non functional
68580,non functional
25064,non functional
7624,non functional
3830,non functional
13458,non functional
57377,functional needs repair
37294,non functional
39561,functional
23237,functional
72484,functional
56490,non functional
13706,functional needs repair
43035,functional needs repair
14084,non functional
55875,non functional
17299,non functional
1793,functional
70943,non functional
65720,non functional
49165,functional
18879,functional needs repair
3574,non functional
56735,functional
45481,functional
51772,functional
74095,functional needs repair
54000,functional needs repair
34834,non functional
50175,functional
35733,functional
6808,non functional
27311,functional needs repair
73303,functional
70335,non functional
2691,functional
12582,functional needs repair
49536,non functional
23715,non functional
45445,functional
52609,functional
35087,functional needs repair
42767,functional
24373,non functional
32895,non functional
9328,non functional
23275,non functional
20054,non functional
8378,non functional
47432,functional
49863,functional
57828,functional needs repair
31169,functional needs repair
38382,functional
31205,functional
23528,functional needs repair
26507,non functional
67091,functional needs repair
47734,functional
927,functional
48521,functional
16963,functional
48233,non functional
58989,non functional
2399,functional
23530,non functional
46271,non functional
71726,functional
23526,non functional
49861,functional
22619,non functional
41264,non functional
20623,functional
35694,functional
68210,non functional
13446,functional
11321,functional needs repair
56312,functional
19533,non functional
7275,functional
48614,non functional
65873,functional
9008,functional
36817,functional
25767,functional
38460,non functional
16756,functional needs repair
13310,non functional
36514,functional
57548,functional
2809,functional
70632,functional
17260,functional
27950,functional
40629,functional
64155,functional
50640,non functional
67355,functional
32132,non functional
70868,functional
45823,non functional
19985,functional needs repair
61834,non functional
54171,non functional
62763,functional needs repair
42408,functional
13151,non functional
28311,functional
57775,non functional
37603,non functional
56357,non functional
37845,non functional
57177,non functional
12821,functional needs repair
8193,non functional
49031,functional
14011,functional needs repair
33708,functional
68898,non functional
37198,functional needs repair
11151,non functional
22264,non functional
49694,non functional
47318,functional needs repair
46108,non functional
28297,functional needs repair
36340,non functional
26987,non functional
5766,functional
25979,non functional
73021,non functional
11908,functional needs repair
47496,non functional
61777,functional
47591,functional needs repair
8968,functional
45656,non functional
39630,functional
2786,non functional
958,non functional
55843,non functional
52074,functional needs repair
23422,functional
55802,functional needs repair
61634,functional needs repair
1625,functional
37398,non functional
51011,functional needs repair
49595,functional
22486,non functional
22916,functional needs repair
45204,non functional
74223,functional
35533,functional
30595,non functional
47319,non functional
32555,non functional
9520,functional
53253,non functional
36436,non functional
15036,functional needs repair
23175,non functional
41998,functional
19345,non functional
1198,non functional
39848,functional
39278,functional
39844,functional needs repair
17332,non functional
51287,functional needs repair
49514,non functional
64288,functional
41782,functional
54572,non functional
68079,functional needs repair
68017,non functional
66705,functional
5274,functional
58230,functional needs repair
51010,functional needs repair
46242,functional needs repair
1917,functional
9361,functional
33043,non functional
56633,non functional
57518,non functional
51128,non functional
4388,non functional
62267,non functional
72473,non functional
70957,functional
35399,functional
33236,functional
73183,functional
52939,functional
66929,non functional
54326,functional needs repair
16343,non functional
33013,functional needs repair
60384,non functional
41074,functional
71997,functional
35190,functional
3425,non functional
4335,functional needs repair
7399,functional
46431,functional
40845,functional needs repair
27347,functional
10981,functional needs repair
36447,functional needs repair
67485,functional
11220,functional
45857,non functional
21806,non functional
8771,non functional
45535,functional needs repair
8671,functional
2252,functional
58078,non functional
61068,non functional
69204,non functional
28326,functional needs repair
46930,non functional
52104,functional
31732,non functional
21584,functional needs repair
17045,functional
14404,functional
34699,non functional
39930,non functional
38744,functional needs repair
4339,functional
54735,functional
51916,functional
58114,functional
28339,functional needs repair
52048,non functional
66497,non functional
18353,non functional
16701,functional needs repair
59499,non functional
66042,non functional
43965,functional needs repair
48361,non functional
70766,functional
9510,non functional
28586,functional
28521,non functional
18050,functional
73151,non functional
45011,functional needs repair
64380,functional needs repair
66896,functional needs repair
40184,functional
67207,functional needs repair
70178,functional
54063,non functional
39252,non functional
53773,functional
47931,non functional
44168,non functional
66540,functional needs repair
54089,non functional
29244,non functional
27525,non functional
58991,functional
18087,non functional
67803,functional needs repair
48006,non functional
11788,functional needs repair
16100,functional
16382,non functional
21208,non functional
8637,functional
67008,non functional
67914,functional needs repair
7041,non functional
43181,non functional
26191,non functional
14766,non functional
49812,functional
12705,functional
25422,non functional
9399,functional
4239,functional
49442,functional needs repair
32,non functional
11443,functional needs repair
15492,functional
63498,functional
12708,non functional
19483,non functional
31204,non functional
33445,functional needs repair
40820,functional
10279,non functional
46718,functional needs repair
39000,non functional
45897,non functional
62154,non functional
50034,functional needs repair
11853,functional needs repair
40426,functional
41168,functional needs repair
58978,functional
31363,functional
32736,functional
29058,functional
23824,functional
61885,non functional
59187,non functional
73243,non functional
62915,non functional
1784,non functional
65951,functional
20661,functional
55504,functional needs repair
66975,non functional
72057,functional
49331,functional needs repair
52682,functional needs repair
37859,functional
10460,functional needs repair
12407,functional
69993,non functional
13012,functional needs repair
70896,non functional
13264,functional
51824,non functional
60216,non functional
57481,non functional
3996,functional
24854,functional needs repair
43420,functional needs repair
70468,non functional
38305,non functional
57179,functional
70388,non functional
67589,non functional
69974,functional
8854,functional
71663,functional needs repair
69272,functional
49119,non functional
15638,functional
9086,functional needs repair
56422,functional needs repair
39106,functional
4515,functional
48594,functional
63779,functional needs repair
60740,functional
61242,non functional
65001,non functional
2601,functional needs repair
52456,functional
21873,non functional
25505,functional
21890,non functional
52336,non functional
57756,non functional
45465,functional
4989,functional
51585,functional needs repair
50533,functional
54866,non functional
23793,functional
50135,non functional
26549,functional needs repair
66920,functional
35517,non functional
390,functional
13645,functional
39327,functional needs repair
58900,functional needs repair
2100,functional
31521,non functional
277,non functional
33937,functional needs repair
42545,non functional
7614,functional
46861,functional
35278,non functional
71773,functional needs repair
52392,functional needs repair
47229,functional
10716,non functional
13923,functional
42206,non functional
965,functional
66646,functional
17301,non functional
21533,functional needs repair
37797,functional
19241,non functional
15296,non functional
41472,functional needs repair
73859,functional
20153,functional needs repair
71684,functional needs repair
8321,non functional
68979,functional
48850,functional needs repair
64251,functional
3583,non functional
33326,non functional
8500,non functional
67047,functional
24896,functional needs repair
39527,functional needs repair
3089,functional needs repair
66477,non functional
24107,functional
7823,functional
32016,functional
35048,functional needs repair
70580,non functional
47503,functional
37357,functional
1195,non functional
52309,functional
19655,non functional
39455,non functional
52757,non functional
62729,non functional
24324,functional needs repair
51298,non functional
17127,functional needs repair
28152,functional
14259,non functional
47461,functional
65878,non functional
58913,non functional
70035,non functional
37446,functional needs repair
30337,functional
57584,non functional
67193,non functional
62103,non functional
22896,functional needs repair
5934,non functional
61722,functional needs repair
9299,functional needs repair
68558,non functional
51165,functional needs repair
8657,functional needs repair
54952,functional needs repair
53160,functional
17393,non functional
33016,functional needs repair
25929,non functional
41102,non functional
11093,non functional
52744,functional
23484,functional
13139,functional
55439,functional needs repair
41539,functional
47692,non functional
60165,functional
64683,functional
7089,non functional
13516,functional needs repair
47720,functional needs repair
22588,non functional
28580,functional needs repair
9075,non functional
25066,non functional
28284,functional
67568,functional
64823,non functional
8243,non functional
2556,functional needs repair
58746,non functional
18288,functional
72822,functional
5178,functional
66294,functional
14451,functional needs repair
48600,functional
27513,functional needs repair
36889,functional
663,non functional
10646,functional
35103,non functional
50804,functional needs repair
29635,functional
47604,functional
49844,functional
69068,functional needs repair
43074,non functional
71088,non functional
40470,functional needs repair
21920,non functional
51415,functional
15480,non functional
21881,non functional
7780,functional needs repair
24908,non functional
53915,functional
54560,functional
15498,non functional
20446,functional
5886,functional needs repair
52883,functional
30892,functional
37432,non functional
42574,functional needs repair
61505,functional needs repair
44827,non functional
5951,non functional
48991,functional needs repair
22821,functional needs repair
46478,functional needs repair
19831,functional needs repair
49317,functional needs repair
18472,functional needs repair
58686,functional
47419,non functional
44921,functional needs repair
55024,non functional
28971,non functional
8108,functional
32182,functional
40513,functional needs repair
372,non functional
49297,functional
24407,non functional
44874,non functional
25119,non functional
3882,functional
73443,functional
56056,non functional
22035,non functional
46318,functional needs repair
20802,functional
41941,non functional
12044,functional needs repair
47262,functional needs repair
19337,functional needs repair
38688,non functional
45341,functional needs repair
55661,functional needs repair
32322,functional needs repair
41912,functional
26136,non functional
13480,functional
62035,functional needs repair
50343,functional needs repair
68537,functional
52293,non functional
17764,functional
67862,functional needs repair
38933,functional needs repair
68514,functional
65335,non functional
27469,functional needs repair
31290,functional
72594,non functional
2854,functional needs repair
19679,non functional
46470,functional needs repair
9931,non functional
39214,functional
3982,functional
29633,functional
50872,functional
31969,non functional
51280,non functional
63438,functional
52302,non functional
44486,functional
4641,non functional
47724,functional
4393,functional
54938,functional
66983,non functional
55870,non functional
62561,functional
7975,non functional
9418,non functional
4929,functional
68311,non functional
15225,functional needs repair
51854,functional
40247,functional
37958,functional needs repair
19319,functional needs repair
27495,non functional
20111,functional
33231,non functional
44772,non functional
53237,functional
23279,functional needs repair
66738,functional needs repair
73053,functional
31190,functional needs repair
54820,non functional
54173,functional
40904,functional needs repair
43729,functional
63132,functional needs repair
65274,functional needs repair
2012,non functional
70647,functional
6067,functional
47835,functional needs repair
14510,functional needs repair
34536,functional needs repair
50168,non functional
65018,functional needs repair
4960,functional needs repair
19291,non functional
11480,non functional
74179,non functional
46276,functional needs repair
69469,functional needs repair
51844,non functional
13340,non functional
34046,functional needs repair
72429,non functional
60034,functional
36173,functional
66575,functional
33778,functional
52807,non functional
37283,non functional
53688,functional
54777,non functional
10363,functional
42685,non functional
29334,non functional
17320,functional needs repair
7060,non functional
3905,non functional
14607,functional
59091,functional needs repair
44927,functional needs repair
59415,functional needs repair
59722,functional needs repair
49411,non functional
40903,non functional
64786,non functional
36207,functional
61178,functional needs repair
55377,non functional
34300,functional needs repair
29483,non functional
58576,non functional
37659,non functional
63873,functional
55723,functional
9950,functional
49680,non functional
30329,non functional
64912,functional
21165,functional
42112,functional
25108,functional
55021,non functional
14319,functional
23587,functional
27217,functional
62333,non functional
3284,functional
38299,functional needs repair
35668,non functional
10228,functional
67801,non functional
63324,functional
33451,functional
46306,non functional
37149,functional
29770,non functional
14731,functional
7963,functional
55945,non functional
7645,functional needs repair
7244,non functional
40114,functional
37615,functional
54151,non functional
64712,functional
40499,non functional
71171,functional needs repair
20712,functional
20187,functional needs repair
12383,functional
33364,functional
9646,functional needs repair
12201,non functional
1782,non functional
42747,functional needs repair
12125,functional
53260,functional
55023,functional
7865,functional
66269,non functional
45049,functional
4988,functional
17387,functional
41771,functional
44806,non functional
9157,functional
70881,functional
59951,functional
47581,non functional
14986,functional
71499,non functional
32928,non functional
11934,functional
54065,functional
25479,functional
38302,non functional
32973,functional
52140,functional needs repair
51060,functional
33106,functional needs repair
55127,functional
8640,functional needs repair
43117,functional
9966,functional
11183,non functional
72250,functional
50586,functional needs repair
48093,functional
37435,non functional
9379,functional
65657,non functional
34535,functional
26262,functional
14458,functional
33972,non functional
40238,non functional
70610,non functional
47960,functional
71481,functional needs repair
10946,functional
68239,functional needs repair
56314,non functional
20772,non functional
41027,non functional
57639,functional
42841,functional
8016,non functional
38349,non functional
68114,non functional
53733,functional
53513,functional
50420,non functional
31043,non functional
11436,non functional
66544,non functional
66297,functional needs repair
9975,functional needs repair
21663,non functional
66747,functional
8343,non functional
43675,functional needs repair
12325,functional
27609,non functional
70092,functional
4092,non functional
60469,functional
15869,non functional
31689,functional
40197,non functional
35039,functional
19866,functional needs repair
65864,functional needs repair
54111,functional
65616,non functional
24954,functional
55924,functional
48299,functional
51679,functional
7861,functional
74037,non functional
2367,functional needs repair
60329,functional
16467,non functional
36876,non functional
42906,non functional
58855,functional needs repair
48072,non functional
34861,functional
38446,non functional
25076,functional needs repair
42010,functional needs repair
27880,functional
49961,functional
32989,non functional
17483,non functional
54815,functional
16359,functional
54840,non functional
6252,non functional
46589,non functional
65044,non functional
52749,functional needs repair
31792,functional needs repair
72814,functional needs repair
19523,functional
32936,non functional
28011,functional
49940,functional
21296,non functional
57692,non functional
60900,functional
69726,functional
4707,non functional
5501,functional needs repair
37805,non functional
20466,non functional
915,functional needs repair
15844,functional needs repair
60509,functional
22552,non functional
47386,non functional
8521,functional
54730,functional
58417,functional needs repair
11731,non functional
40490,non functional
17385,functional
63184,functional
45621,functional needs repair
42679,non functional
64602,functional
33317,functional
38658,functional needs repair
64299,functional
36030,functional needs repair
18940,non functional
45669,functional
19668,functional
44209,functional needs repair
73269,non functional
72767,functional
68471,functional needs repair
907,non functional
57724,functional needs repair
19492,functional
18247,functional needs repair
61793,functional
68182,functional
69769,functional needs repair
1580,functional
9327,functional needs repair
18330,non functional
9250,functional
29932,functional
22830,non functional
58200,non functional
30920,functional
9138,functional needs repair
50234,non functional
54691,functional needs repair
16393,functional needs repair
56549,non functional
9832,functional
31881,non functional
12886,functional
58897,non functional
830,functional
15950,functional
26265,non functional
46220,functional needs repair
22347,non functional
2860,functional
19021,functional needs repair
3484,functional needs repair
30298,non functional
39782,non functional
74005,functional
5674,functional needs repair
9381,functional
3895,non functional
1673,non functional
29551,functional
41475,non functional
67870,functional
2791,non functional
42255,non functional
67164,non functional
12440,non functional
13193,non functional
60880,functional needs repair
71008,non functional
67514,functional
34910,functional needs repair
383,non functional
23977,functional needs repair
70543,functional
2906,functional
33810,non functional
10021,non functional
46730,functional
1663,functional needs repair
2408,functional needs repair
72505,functional
65019,non functional
42313,non functional
340,non functional
50285,non functional
3409,functional needs repair
26378,functional needs repair
47552,functional needs repair
32262,functional needs repair
58637,non functional
34827,non functional
63294,functional
44867,non functional
26751,non functional
66574,functional
39354,non functional
21479,non functional
57899,functional
60079,functional needs repair
62070,non functional
20628,non functional
11344,functional
62122,non functional
51867,non functional
51667,functional needs repair
16857,functional
27022,non functional
10438,functional
57755,functional
22384,functional needs repair
3380,functional
41843,functional needs repair
35208,functional needs repair
37152,non functional
47925,functional
43946,functional needs repair
2932,functional
11829,non functional
59013,non functional
48338,functional needs repair
71276,non functional
62998,non functional
6708,functional
9969,functional needs repair
5567,functional needs repair
61598,functional needs repair
20745,non functional
72485,non functional
53890,non functional
62984,functional needs repair
56024,functional
64958,functional needs repair
36386,non functional
12970,functional
63672,non functional
1545,functional
68416,non functional
53929,functional needs repair
59291,non functional
20931,functional needs repair
18781,non functional
15430,non functional
54042,functional needs repair
56896,functional needs repair
2579,functional needs repair
65982,non functional
8486,functional
15871,non functional
36433,non functional
65239,non functional
42513,functional
63248,non functional
2959,functional
64833,functional
54346,non functional
12284,non functional
18056,non functional
9415,functional needs repair
10574,functional
67761,non functional
2413,non functional
60358,functional needs repair
72803,functional
71644,functional
43929,functional needs repair
23370,functional needs repair
38121,functional
71352,functional
26630,functional
72503,non functional
36667,non functional
13838,non functional
73762,functional
56917,functional
64901,non functional
11878,non functional
11761,functional needs repair
22410,functional
29102,functional needs repair
36539,non functional
9758,functional needs repair
28981,non functional
56273,functional needs repair
35854,functional needs repair
38840,functional needs repair
32235,functional
36097,non functional
54661,non functional
61700,non functional
71556,functional
9296,non functional
26823,functional
45401,functional
862,functional needs repair
12857,non functional
60984,functional
68476,functional
18299,non functional
48846,non functional
6446,functional
63522,functional
66298,functional
39348,functional
25325,functional needs repair
38166,functional needs repair
10753,functional needs repair
6496,non functional
66416,non functional
47968,functional
30436,non functional
53608,functional
66036,functional
46595,non functional
18890,non functional
1978,functional
10656,non functional
69297,functional
43482,non functional
43158,functional
18733,functional
27893,non functional
72342,non functional
37520,non functional
11453,functional needs repair
39911,functional needs repair
51620,functional needs repair
18133,functional needs repair
4572,non functional
55691,functional needs repair
42966,non functional
66569,non functional
7200,non functional
53136,functional needs repair
25723,non functional
66123,non functional
7672,functional
37943,functional
2142,functional
66405,functional needs repair
13101,non functional
73963,functional
26444,non functional
19007,functional
71761,functional needs repair
1467,functional needs repair
35518,non functional
32922,functional
43852,functional
29438,non functional
56706,non functional
39407,functional needs repair
58835,non functional
43397,functional
9994,functional
7622,non functional
34194,functional
13045,functional needs repair
32959,functional
50876,functional
31094,functional
37473,functional
61430,functional needs repair
47922,functional needs repair
52355,functional
65517,functional
42861,non functional
59615,functional needs repair
28406,non functional
3716,functional
219,functional
2079,functional
3612,functional
50670,functional needs repair
33118,non functional
25722,functional needs repair
56582,functional
7760,functional
39295,functional
68787,functional
64264,non functional
35160,functional
49452,functional needs repair
53668,functional
67380,functional
45974,functional
11062,non functional
27946,functional needs repair
50414,functional
38773,non functional
39624,functional
72477,non functional
61146,non functional
22496,non functional
39554,functional needs repair
23463,non functional
26384,non functional
42071,non functional
38972,non functional
44617,non functional
32282,functional
8586,non functional
36903,functional
55556,functional needs repair
21436,functional needs repair
17030,non functional
51806,non functional
44903,functional needs repair
1957,functional needs repair
20102,functional
39391,non functional
10871,functional
67815,non functional
19183,functional needs repair
17711,non functional
59743,functional
11844,functional
40062,non functional
40682,functional
71690,functional
22833,functional
16908,non functional
43496,non functional
62050,non functional
65634,functional
6309,non functional
38784,functional
38329,non functional
69029,functional needs repair
25515,non functional
30870,non functional
34228,non functional
42698,functional
31674,functional
2848,functional needs repair
52616,functional
28760,functional
1188,functional
13957,non functional
20847,functional
39895,non functional
44133,functional
47704,functional needs repair
68173,functional
40526,functional
26285,functional
67502,non functional
57809,functional needs repair
3915,functional needs repair
69110,functional needs repair
21675,functional needs repair
16738,functional
13627,functional
13404,non functional
16649,non functional
8572,functional
71169,non functional
71519,functional needs repair
72287,functional
19168,functional
25981,non functional
33996,non functional
69749,functional
53037,non functional
49611,functional needs repair
52353,non functional
71599,functional needs repair
29631,functional
54016,functional
71623,functional
67739,functional needs repair
30275,functional needs repair
29073,functional
59974,functional
47612,functional needs repair
15654,functional
12002,non functional
10489,functional
49293,functional needs repair
23467,functional
6668,functional needs repair
6876,functional needs repair
11289,non functional
30283,functional needs repair
55091,non functional
26166,non functional
3449,non functional
7498,functional
62730,functional
68654,functional
5300,functional
22742,non functional
2653,functional needs repair
71210,functional
24301,non functional
51174,non functional
57324,functional
47760,functional
34478,functional
44012,functional
50314,functional needs repair
24528,functional
57041,functional needs repair
6407,functional needs repair
42635,functional
73702,functional needs repair
67087,functional needs repair
7398,non functional
20430,functional
60819,non functional
59586,functional
49192,functional
39902,functional
52301,non functional
50482,functional
36023,non functional
42509,functional
42398,functional needs repair
56132,functional needs repair
37018,functional
33205,non functional
57405,non functional
66229,functional
22953,non functional
67348,functional
10496,functional
49208,non functional
29525,functional needs repair
51648,non functional
49307,functional
6408,functional
53899,functional needs repair
46623,functional needs repair
12537,functional
1365,functional needs repair
54115,functional
52656,functional
40498,functional
48970,non functional
56235,functional
36070,non functional
63964,functional
32271,functional needs repair
15011,functional
38607,non functional
39836,non functional
65630,functional needs repair
58295,functional
4210,non functional
3161,functional
21846,functional needs repair
28509,functional
20933,functional
20195,functional
528,functional needs repair
55726,functional
39291,non functional
39436,functional
29216,functional
12682,non functional
48580,functional
22504,functional
54078,functional
18687,functional needs repair
41128,functional
73213,functional needs repair
52967,functional
73043,functional
23440,functional
51098,functional needs repair
37286,non functional
3953,functional
70347,functional
61706,functional needs repair
45392,non functional
12844,functional needs repair
8890,functional needs repair
49091,non functional
44085,non functional
19625,functional
44799,functional
36158,non functional
36397,functional
13057,functional needs repair
5874,functional needs repair
9067,non functional
15956,functional
3693,non functional
65220,functional needs repair
31365,non functional
60072,functional needs repair
45524,non functional
536,functional needs repair
21099,non functional
45506,functional needs repair
39120,non functional
66657,non functional
20094,functional
20309,functional needs repair
49113,non functional
44016,functional needs repair
7210,functional
34555,functional
16088,functional needs repair
25292,functional needs repair
60748,non functional
27452,functional needs repair
59367,non functional
59662,functional
63833,functional
63706,functional needs repair
40887,functional
3501,functional
20532,functional
1386,non functional
34149,functional needs repair
43398,functional
49223,non functional
58176,non functional
57623,non functional
12860,functional
30913,functional
45960,non functional
34432,non functional
17486,non functional
65669,functional
37837,functional
73292,non functional
11651,functional needs repair
29408,functional needs repair
37866,functional
69690,functional needs repair
53995,non functional
53366,non functional
39328,non functional
2320,functional
67731,functional
57014,functional needs repair
62940,functional
50725,non functional
2855,functional
25922,functional needs repair
19440,functional
31206,non functional
2349,functional needs repair
57290,functional needs repair
9508,functional
66849,non functional
62431,functional needs repair
23245,non functional
21360,functional needs repair
44870,non functional
64287,functional
44968,functional
61846,functional
49580,non functional
15928,non functional
25900,functional
31819,non functional
48103,functional needs repair
49852,functional
17098,non functional
1767,functional
33791,functional
60357,functional needs repair
27287,functional needs repair
50174,functional needs repair
60161,functional needs repair
10484,functional needs repair
33521,non functional
56320,functional needs repair
33643,functional needs repair
22899,non functional
63343,non functional
29869,functional needs repair
41463,functional
23539,functional
2230,functional
26037,non functional
375,non functional
39654,non functional
53096,functional needs repair
60168,functional
16990,non functional
21007,functional
14315,non functional
2177,functional
49269,non functional
4671,functional
44176,functional needs repair
40998,non functional
7333,functional needs repair
64091,functional
